male,age,edu,inc,union,lrscale
0,30,3,7,1,8
0,57,6,7,1,7
1,45,5,7,1,7
0,47,3,2,0,5
0,51,3,4,1,8
0,40,4,2,0,2
0,33,6,10,1,7
1,45,4,4,0,10
1,56,2,6,1,8
1,63,7,6,1,3
1,31,7,9,1,7
0,58,2,6,1,7
1,40,3,4,1,4
1,89,7,5,0,3
0,49,2,2,1,7
0,47,6,6,1,4
1,19,6,9,0,2
1,35,4,5,1,2
1,52,3,8,1,6
1,67,6,4,1,3
1,24,2,2,1,4
0,74,3,2,0,4
1,53,7,10,1,3
1,37,7,8,1,7
1,50,6,7,1,8
1,39,7,4,1,2
1,49,2,6,1,5
0,50,3,5,1,5
1,57,5,9,1,7
0,64,6,9,1,3
1,29,3,9,1,3
1,40,3,7,1,7
0,68,1,2,0,3
0,40,5,3,1,7
0,27,6,4,1,3
1,56,3,6,1,7
1,72,6,7,0,7
1,26,4,1,0,6
0,36,5,6,1,4
0,27,4,1,0,5
1,26,4,1,0,5
0,41,7,10,1,4
1,71,6,6,0,8
1,84,2,3,0,5
1,44,6,10,1,5
1,22,3,3,1,6
1,61,3,4,1,5
1,43,7,5,1,3
0,30,7,5,0,3
1,55,5,5,1,8
1,26,3,1,0,4
1,37,6,8,1,8
0,57,3,6,1,5
1,68,7,7,0,7
1,85,6,6,0,5
0,68,3,3,0,5
0,50,3,5,1,5
0,43,6,7,1,8
1,28,4,1,1,5
0,68,4,3,0,2
1,69,7,10,0,8
1,73,3,10,0,10
0,64,6,10,1,6
0,44,6,10,1,4
1,74,2,4,1,7
1,39,6,10,1,0
1,86,7,4,0,4
1,54,6,10,1,8
0,40,5,10,1,8
0,30,6,1,0,5
1,51,7,8,1,4
1,52,3,4,1,5
0,21,2,1,1,7
0,49,6,6,1,5
0,62,6,5,1,3
0,62,3,2,0,6
1,30,7,1,1,4
1,74,7,9,0,5
0,38,6,6,1,7
0,49,7,8,1,5
0,63,1,2,1,8
0,46,3,8,1,4
1,32,3,4,0,0
1,50,7,6,1,7
1,67,3,7,0,7
1,31,7,8,1,5
1,66,3,6,0,2
1,36,6,5,1,4
1,70,3,2,0,6
1,45,3,6,1,5
1,76,6,7,0,7
1,48,2,8,1,7
0,58,3,7,1,4
0,46,6,10,1,7
1,70,4,10,0,9
0,67,6,9,1,6
1,38,7,7,1,4
1,37,5,7,0,7
1,48,3,6,1,8
1,69,3,2,1,0
1,46,6,8,0,6
0,43,5,8,1,8
0,64,6,7,1,8
0,22,4,2,0,3
1,24,4,1,1,4
1,38,5,10,1,5
0,60,1,3,1,7
1,57,6,10,0,7
0,59,5,4,1,7
0,72,1,2,0,6
1,52,3,10,1,9
1,52,2,1,1,6
0,65,7,7,0,7
0,60,3,1,0,10
0,31,6,7,1,4
0,67,3,4,1,7
0,62,3,6,0,0
1,48,3,6,1,9
1,42,6,10,1,5
0,23,4,2,1,3
0,23,4,4,1,5
1,69,7,7,1,4
1,65,6,8,0,3
1,33,6,4,1,5
1,16,2,2,0,9
1,65,5,5,0,5
0,80,1,1,0,4
0,63,7,5,0,1
1,27,3,4,1,7
0,60,2,6,1,5
1,79,2,4,1,3
1,50,3,10,1,5
0,29,7,2,1,3
1,75,1,2,0,8
0,73,1,3,0,3
1,26,7,7,1,6
0,38,5,6,1,9
0,47,2,1,0,2
1,56,5,5,1,7
1,24,3,6,1,5
1,17,2,10,0,7
1,31,6,9,0,6
1,78,3,2,0,5
1,29,6,7,1,3
0,45,2,7,1,5
0,81,1,1,0,5
